sample,accession,lane
SMRU659,ERS020169,6730_5#11
SMRU660,ERS020170,6730_5#12
SMRU662,ERS020172,6730_5#14
SMRU663,ERS020173,6730_5#15
SMRU664,ERS020174,6730_5#16
SMRU665,ERS020175,6730_5#17
SMRU666,ERS020176,6730_5#18
SMRU669,ERS020179,6730_5#21
SMRU670,ERS020180,6730_5#22
SMRU671,ERS020181,6730_5#23
SMRU672,ERS020182,6730_5#24
SMRU673,ERS020183,6730_6#1
SMRU674,ERS020184,6730_6#2
SMRU675,ERS020185,6730_6#3
SMRU676,ERS020186,6730_6#4
SMRU677,ERS020187,6730_6#5
SMRU678,ERS020188,6730_6#6
SMRU679,ERS020189,6730_6#7
SMRU680,ERS020190,6730_6#8
SMRU681,ERS020191,6730_6#9
SMRU682,ERS020192,6730_6#10
SMRU683,ERS020193,6730_6#11
SMRU684,ERS020194,6730_6#12
SMRU685,ERS020195,6730_6#13
SMRU686,ERS020196,6730_6#14
SMRU687,ERS020197,6730_6#15
SMRU690,ERS020200,6730_6#18
SMRU691,ERS020201,6730_6#19
SMRU692,ERS020202,6730_6#20
SMRU693,ERS020203,6730_6#21
SMRU694,ERS020204,6730_6#22
SMRU695,ERS020205,6730_6#23
SMRU696,ERS020206,6730_6#24
SMRU697,ERS020207,6730_7#1
SMRU698,ERS020208,6730_7#2
SMRU699,ERS020209,6730_7#3
SMRU700,ERS020210,6730_7#4
SMRU701,ERS020211,6730_7#5
SMRU702,ERS020212,6730_7#6
SMRU703,ERS020213,6730_7#7
SMRU704,ERS020214,6730_7#8
SMRU705,ERS020215,6730_7#9
SMRU706,ERS020216,6730_7#10
SMRU707,ERS020217,6730_7#11
SMRU708,ERS020218,6730_7#12
SMRU709,ERS020219,6730_7#13
SMRU710,ERS020220,6730_7#14
SMRU711,ERS020221,6730_7#15
SMRU713,ERS020223,6730_7#17
SMRU714,ERS020224,6730_7#18
SMRU715,ERS020225,6730_7#19
SMRU716,ERS020226,6730_7#20
SMRU717,ERS020227,6730_7#21
SMRU718,ERS020228,6730_7#22
SMRU719,ERS020229,6730_7#23
SMRU720,ERS020230,6730_7#24
SMRU721,ERS020231,6730_8#1
SMRU722,ERS020232,6730_8#2
SMRU723,ERS020233,6730_8#3
SMRU724,ERS020234,6730_8#4
SMRU725,ERS020235,6730_8#5
SMRU726,ERS020236,6730_8#6
SMRU727,ERS020237,6730_8#7
SMRU728,ERS020238,6730_8#8
SMRU729,ERS020239,6730_8#9
SMRU730,ERS020240,6730_8#10
SMRU731,ERS020241,6730_8#11
SMRU733,ERS020243,6730_8#13
SMRU734,ERS020244,6730_8#14
SMRU735,ERS020245,6730_8#15
SMRU736,ERS020246,6730_8#16
SMRU738,ERS020248,6730_8#18
SMRU739,ERS020249,6730_8#19
SMRU740,ERS020250,6730_8#20
SMRU741,ERS020251,6730_8#21
SMRU742,ERS020252,6730_8#22
SMRU743,ERS020253,6730_8#23
SMRU744,ERS020254,6730_8#24
SMRU985,ERS020495,6731_1#1
SMRU986,ERS020496,6731_1#2
SMRU988,ERS020498,6731_1#4
SMRU989,ERS020499,6731_1#5
SMRU991,ERS020501,6731_1#7
SMRU992,ERS020502,6731_1#8
SMRU993,ERS020503,6731_1#9
SMRU994,ERS020504,6731_1#10
SMRU995,ERS020505,6731_1#11
SMRU996,ERS020506,6731_1#12
SMRU999,ERS020509,6731_1#15
SMRU1003,ERS020513,6731_1#19
SMRU1006,ERS020516,6731_1#22
SMRU1009,ERS020519,6731_2#1
SMRU1010,ERS020520,6731_2#2
SMRU1012,ERS020522,6731_2#4
SMRU1014,ERS020524,6731_2#6
SMRU1015,ERS020525,6731_2#7
SMRU1017,ERS020527,6731_2#9
SMRU1018,ERS020528,6731_2#10
SMRU1020,ERS020530,6731_2#12
SMRU1021,ERS020531,6731_2#13
SMRU1023,ERS020533,6731_2#15
SMRU1025,ERS020535,6731_2#17
SMRU1026,ERS020536,6731_2#18
SMRU1028,ERS020538,6731_2#20
SMRU1029,ERS020539,6731_2#21
SMRU1030,ERS020540,6731_2#22
SMRU1031,ERS020541,6731_2#23
SMRU1032,ERS020542,6731_2#24
SMRU1033,ERS020543,6731_3#1
SMRU1034,ERS020544,6731_3#2
SMRU1035,ERS020545,6731_3#3
SMRU1036,ERS020546,6731_3#4
SMRU1037,ERS020547,6731_3#5
SMRU1038,ERS020548,6731_3#6
SMRU1039,ERS020549,6731_3#7
SMRU1040,ERS020550,6731_3#8
SMRU1041,ERS020551,6731_3#9
SMRU1042,ERS020552,6731_3#10
SMRU1043,ERS020553,6731_3#11
SMRU1044,ERS020554,6731_3#12
SMRU1045,ERS020555,6731_3#13
SMRU1046,ERS020556,6731_3#14
SMRU1047,ERS020557,6731_3#15
SMRU1048,ERS020558,6731_3#16
SMRU1049,ERS020559,6731_3#17
SMRU1050,ERS020560,6731_3#18
SMRU1051,ERS020561,6731_3#19
SMRU1052,ERS020562,6731_3#20
SMRU1053,ERS020563,6731_3#21
SMRU1055,ERS020565,6731_3#23
SMRU1056,ERS020566,6731_3#24
SMRU1057,ERS020567,6731_4#1
SMRU1059,ERS020569,6731_4#3
SMRU1060,ERS020570,6731_4#4
SMRU1061,ERS020571,6731_4#5
SMRU1062,ERS020572,6731_4#6
SMRU1063,ERS020573,6731_4#7
SMRU1064,ERS020574,6731_4#8
SMRU1065,ERS020575,6731_4#9
SMRU1066,ERS020576,6731_4#10
SMRU1067,ERS020577,6731_4#11
SMRU1068,ERS020578,6731_4#12
SMRU1069,ERS020579,6731_4#13
SMRU1070,ERS020580,6731_4#14
SMRU1071,ERS020581,6731_4#15
SMRU1072,ERS020582,6731_4#16
SMRU1073,ERS020583,6731_4#17
SMRU1074,ERS020584,6731_4#18
SMRU1075,ERS020585,6731_4#19
SMRU1076,ERS020586,6731_4#20
SMRU1077,ERS020587,6731_4#21
SMRU1078,ERS020588,6731_4#22
SMRU1079,ERS020589,6731_4#23
SMRU1080,ERS020590,6731_4#24
SMRU1081,ERS020591,6731_5#1
SMRU1082,ERS020592,6731_5#2
SMRU1083,ERS020593,6731_5#3
SMRU1084,ERS020594,6731_5#4
SMRU1085,ERS020595,6731_5#5
SMRU1086,ERS020596,6731_5#6
SMRU1088,ERS020598,6731_5#8
SMRU1089,ERS020599,6731_5#9
SMRU1090,ERS020600,6731_5#10
SMRU1091,ERS020601,6731_5#11
SMRU1092,ERS020602,6731_5#12
SMRU1093,ERS020603,6731_5#13
SMRU1094,ERS020604,6731_5#14
SMRU1095,ERS020605,6731_5#15
SMRU1096,ERS020606,6731_5#16
SMRU1097,ERS020607,6731_5#17
SMRU1098,ERS020608,6731_5#18
SMRU1099,ERS020609,6731_5#19
SMRU1100,ERS020610,6731_5#20
SMRU1101,ERS020611,6731_5#21
SMRU1102,ERS020612,6731_5#22
SMRU1103,ERS020613,6731_5#23
SMRU1104,ERS020614,6731_5#24
SMRU1105,ERS020615,6731_6#1
SMRU1106,ERS020616,6731_6#2
SMRU1107,ERS020617,6731_6#3
SMRU1108,ERS020618,6731_6#4
SMRU1109,ERS020619,6731_6#5
SMRU1110,ERS020620,6731_6#6
SMRU1111,ERS020621,6731_6#7
SMRU1112,ERS020622,6731_6#8
SMRU1113,ERS020623,6731_6#9
SMRU1114,ERS020624,6731_6#10
SMRU1115,ERS020625,6731_6#11
SMRU1116,ERS020626,6731_6#12
SMRU1117,ERS020627,6731_6#13
SMRU1118,ERS020628,6731_6#14
SMRU1119,ERS020629,6731_6#15
SMRU1121,ERS020631,6731_6#17
SMRU1122,ERS020632,6731_6#18
SMRU1123,ERS020633,6731_6#19
SMRU1124,ERS020634,6731_6#20
SMRU1125,ERS020635,6731_6#21
SMRU1126,ERS020636,6731_6#22
SMRU1127,ERS020637,6731_6#23
SMRU769,ERS020279,6755_1#1
SMRU770,ERS020280,6755_1#2
SMRU772,ERS020282,6755_1#4
SMRU773,ERS020283,6755_1#5
SMRU774,ERS020284,6755_1#6
SMRU775,ERS020285,6755_1#7
SMRU776,ERS020286,6755_1#8
SMRU777,ERS020287,6755_1#9
SMRU779,ERS020289,6755_1#11
SMRU780,ERS020290,6755_1#12
SMRU781,ERS020291,6755_1#13
SMRU782,ERS020292,6755_1#14
SMRU783,ERS020293,6755_1#15
SMRU785,ERS020295,6755_1#17
SMRU786,ERS020296,6755_1#18
SMRU787,ERS020297,6755_1#19
SMRU790,ERS020300,6755_1#22
SMRU791,ERS020301,6755_1#23
SMRU793,ERS020303,6755_2#1
SMRU794,ERS020304,6755_2#2
SMRU795,ERS020305,6755_2#3
SMRU796,ERS020306,6755_2#4
SMRU797,ERS020307,6755_2#5
SMRU798,ERS020308,6755_2#6
SMRU799,ERS020309,6755_2#7
SMRU800,ERS020310,6755_2#8
SMRU801,ERS020311,6755_2#9
SMRU802,ERS020312,6755_2#10
SMRU803,ERS020313,6755_2#11
SMRU804,ERS020314,6755_2#12
SMRU805,ERS020315,6755_2#13
SMRU806,ERS020316,6755_2#14
SMRU807,ERS020317,6755_2#15
SMRU808,ERS020318,6755_2#16
SMRU809,ERS020319,6755_2#17
SMRU810,ERS020320,6755_2#18
SMRU811,ERS020321,6755_2#19
SMRU812,ERS020322,6755_2#20
SMRU813,ERS020323,6755_2#21
SMRU814,ERS020324,6755_2#22
SMRU815,ERS020325,6755_2#23
SMRU816,ERS020326,6755_2#24
SMRU865,ERS020375,6755_3#1
SMRU866,ERS020376,6755_3#2
SMRU867,ERS020377,6755_3#3
SMRU868,ERS020378,6755_3#4
SMRU869,ERS020379,6755_3#5
SMRU871,ERS020381,6755_3#7
SMRU872,ERS020382,6755_3#8
SMRU873,ERS020383,6755_3#9
SMRU874,ERS020384,6755_3#10
SMRU876,ERS020386,6755_3#12
SMRU877,ERS020387,6755_3#13
SMRU878,ERS020388,6755_3#14
SMRU879,ERS020389,6755_3#15
SMRU880,ERS020390,6755_3#16
SMRU881,ERS020391,6755_3#17
SMRU882,ERS020392,6755_3#18
SMRU883,ERS020393,6755_3#19
SMRU884,ERS020394,6755_3#20
SMRU886,ERS020396,6755_3#22
SMRU887,ERS020397,6755_3#23
SMRU888,ERS020398,6755_3#24
SMRU1129,ERS020639,6755_4#1
SMRU1130,ERS020640,6755_4#2
SMRU1131,ERS020641,6755_4#3
SMRU1132,ERS020642,6755_4#4
SMRU1133,ERS020643,6755_4#5
SMRU1134,ERS020644,6755_4#6
SMRU1135,ERS020645,6755_4#7
SMRU1136,ERS020646,6755_4#8
SMRU1137,ERS020647,6755_4#9
SMRU1139,ERS020649,6755_4#11
SMRU1140,ERS020650,6755_4#12
SMRU1141,ERS020651,6755_4#13
SMRU1143,ERS020653,6755_4#15
SMRU1144,ERS020654,6755_4#16
SMRU1145,ERS020655,6755_4#17
SMRU1146,ERS020656,6755_4#18
SMRU1149,ERS020659,6755_4#21
SMRU1150,ERS020660,6755_4#22
SMRU1151,ERS020661,6755_4#23
SMRU817,ERS020327,6775_1#1
SMRU818,ERS020328,6775_1#2
SMRU819,ERS020329,6775_1#3
SMRU820,ERS020330,6775_1#4
SMRU821,ERS020331,6775_1#5
SMRU822,ERS020332,6775_1#6
SMRU823,ERS020333,6775_1#7
SMRU825,ERS020335,6775_1#9
SMRU826,ERS020336,6775_1#10
SMRU827,ERS020337,6775_1#11
SMRU828,ERS020338,6775_1#12
SMRU829,ERS020339,6775_1#13
SMRU830,ERS020340,6775_1#14
SMRU831,ERS020341,6775_1#15
SMRU832,ERS020342,6775_1#16
SMRU833,ERS020343,6775_1#17
SMRU834,ERS020344,6775_1#18
SMRU835,ERS020345,6775_1#19
SMRU836,ERS020346,6775_1#20
SMRU837,ERS020347,6775_1#21
SMRU838,ERS020348,6775_1#22
SMRU839,ERS020349,6775_1#23
SMRU840,ERS020350,6775_1#24
SMRU841,ERS020351,6775_2#1
SMRU842,ERS020352,6775_2#2
SMRU844,ERS020354,6775_2#4
SMRU845,ERS020355,6775_2#5
SMRU846,ERS020356,6775_2#6
SMRU847,ERS020357,6775_2#7
SMRU849,ERS020359,6775_2#9
SMRU850,ERS020360,6775_2#10
SMRU852,ERS020362,6775_2#12
SMRU853,ERS020363,6775_2#13
SMRU854,ERS020364,6775_2#14
SMRU855,ERS020365,6775_2#15
SMRU857,ERS020367,6775_2#17
SMRU858,ERS020368,6775_2#18
SMRU859,ERS020369,6775_2#19
SMRU860,ERS020370,6775_2#20
SMRU861,ERS020371,6775_2#21
SMRU863,ERS020373,6775_2#23
SMRU864,ERS020374,6775_2#24
SMRU1346,ERS020856,6710_6#2
SMRU1347,ERS020857,6710_6#3
SMRU1350,ERS020860,6710_6#6
SMRU1351,ERS020861,6710_6#7
SMRU1352,ERS020862,6710_6#8
SMRU1353,ERS020863,6710_6#9
SMRU1354,ERS020864,6710_6#10
SMRU1355,ERS020865,6710_6#11
SMRU1356,ERS020866,6710_6#12
SMRU1357,ERS020867,6710_6#13
SMRU1358,ERS020868,6710_6#14
SMRU1360,ERS020870,6710_6#16
SMRU1361,ERS020871,6710_6#17
SMRU1362,ERS020872,6710_6#18
SMRU1363,ERS020873,6710_6#19
SMRU1364,ERS020874,6710_6#20
SMRU1365,ERS020875,6710_6#21
SMRU1366,ERS020876,6710_6#22
SMRU1367,ERS020877,6710_6#23
SMRU1368,ERS020878,6710_6#24
SMRU1369,ERS020879,6710_7#1
SMRU1370,ERS020880,6710_7#2
SMRU1372,ERS020882,6710_7#4
SMRU1373,ERS020883,6710_7#5
SMRU1374,ERS020884,6710_7#6
SMRU1375,ERS020885,6710_7#7
SMRU1377,ERS020887,6710_7#9
SMRU1378,ERS020888,6710_7#10
SMRU1379,ERS020889,6710_7#11
SMRU1380,ERS020890,6710_7#12
SMRU1381,ERS020891,6710_7#13
SMRU1382,ERS020892,6710_7#14
SMRU1383,ERS020893,6710_7#15
SMRU1384,ERS020894,6710_7#16
SMRU1385,ERS020895,6710_7#17
SMRU1386,ERS020896,6710_7#18
SMRU1387,ERS020897,6710_7#19
SMRU1388,ERS020898,6710_7#20
SMRU1389,ERS020899,6710_7#21
SMRU1390,ERS020900,6710_7#22
SMRU1391,ERS020901,6710_7#23
SMRU1392,ERS020902,6710_7#24
SMRU1393,ERS020903,6710_8#1
SMRU1394,ERS020904,6710_8#2
SMRU1395,ERS020905,6710_8#3
SMRU1397,ERS020907,6710_8#5
SMRU1398,ERS020908,6710_8#6
SMRU1399,ERS020909,6710_8#7
SMRU1401,ERS020911,6710_8#9
SMRU1402,ERS020912,6710_8#10
SMRU1403,ERS020913,6710_8#11
SMRU1404,ERS020914,6710_8#12
SMRU1405,ERS020915,6710_8#13
SMRU1406,ERS020916,6710_8#14
SMRU1407,ERS020917,6710_8#15
SMRU1408,ERS020918,6710_8#16
SMRU1409,ERS020919,6710_8#17
SMRU1410,ERS020920,6710_8#18
SMRU1411,ERS020921,6710_8#19
SMRU1412,ERS020922,6710_8#20
SMRU1414,ERS020924,6710_8#22
SMRU1415,ERS020925,6710_8#23
SMRU1416,ERS020926,6710_8#24
SMRU1201,ERS020711,6736_4#1
SMRU1202,ERS020712,6736_4#2
SMRU1204,ERS020714,6736_4#4
SMRU1205,ERS020715,6736_4#5
SMRU1207,ERS020717,6736_4#7
SMRU1209,ERS020719,6736_4#9
SMRU1210,ERS020720,6736_4#10
SMRU1211,ERS020721,6736_4#11
SMRU1212,ERS020722,6736_4#12
SMRU1213,ERS020723,6736_4#13
SMRU1214,ERS020724,6736_4#14
SMRU1215,ERS020725,6736_4#15
SMRU1217,ERS020727,6736_4#17
SMRU1219,ERS020729,6736_4#19
SMRU1220,ERS020730,6736_4#20
SMRU1221,ERS020731,6736_4#21
SMRU1222,ERS020732,6736_4#22
SMRU1223,ERS020733,6736_4#23
SMRU1224,ERS020734,6736_4#24
SMRU1225,ERS020735,6736_5#1
SMRU1226,ERS020736,6736_5#2
SMRU1227,ERS020737,6736_5#3
SMRU1228,ERS020738,6736_5#4
SMRU1229,ERS020739,6736_5#5
SMRU1230,ERS020740,6736_5#6
SMRU1231,ERS020741,6736_5#7
SMRU1233,ERS020743,6736_5#9
SMRU1234,ERS020744,6736_5#10
SMRU1235,ERS020745,6736_5#11
SMRU1236,ERS020746,6736_5#12
SMRU1237,ERS020747,6736_5#13
SMRU1239,ERS020749,6736_5#15
SMRU1240,ERS020750,6736_5#16
SMRU1243,ERS020753,6736_5#19
SMRU1244,ERS020754,6736_5#20
SMRU1245,ERS020755,6736_5#21
SMRU1246,ERS020756,6736_5#22
SMRU1247,ERS020757,6736_5#23
SMRU1248,ERS020758,6736_5#24
SMRU1250,ERS020760,6736_6#2
SMRU1251,ERS020761,6736_6#3
SMRU1252,ERS020762,6736_6#4
SMRU1253,ERS020763,6736_6#5
SMRU1254,ERS020764,6736_6#6
SMRU1255,ERS020765,6736_6#7
SMRU1256,ERS020766,6736_6#8
SMRU1257,ERS020767,6736_6#9
SMRU1258,ERS020768,6736_6#10
SMRU1260,ERS020770,6736_6#12
SMRU1261,ERS020771,6736_6#13
SMRU1262,ERS020772,6736_6#14
SMRU1263,ERS020773,6736_6#15
SMRU1264,ERS020774,6736_6#16
SMRU1265,ERS020775,6736_6#17
SMRU1268,ERS020778,6736_6#20
SMRU1269,ERS020779,6736_6#21
SMRU1270,ERS020780,6736_6#22
SMRU1271,ERS020781,6736_6#23
SMRU1272,ERS020782,6736_6#24
SMRU1273,ERS020783,6736_7#1
SMRU1275,ERS020785,6736_7#3
SMRU1276,ERS020786,6736_7#4
SMRU1277,ERS020787,6736_7#5
SMRU1279,ERS020789,6736_7#7
SMRU1280,ERS020790,6736_7#8
SMRU1281,ERS020791,6736_7#9
SMRU1282,ERS020792,6736_7#10
SMRU1284,ERS020794,6736_7#12
SMRU1285,ERS020795,6736_7#13
SMRU1286,ERS020796,6736_7#14
SMRU1287,ERS020797,6736_7#15
SMRU1289,ERS020799,6736_7#17
SMRU1291,ERS020801,6736_7#19
SMRU1292,ERS020802,6736_7#20
SMRU1293,ERS020803,6736_7#21
SMRU1294,ERS020804,6736_7#22
SMRU1295,ERS020805,6736_7#23
SMRU1296,ERS020806,6736_7#24
SMRU1297,ERS020807,6736_8#1
SMRU1298,ERS020808,6736_8#2
SMRU1299,ERS020809,6736_8#3
SMRU1300,ERS020810,6736_8#4
SMRU1301,ERS020811,6736_8#5
SMRU1302,ERS020812,6736_8#6
SMRU1303,ERS020813,6736_8#7
SMRU1304,ERS020814,6736_8#8
SMRU1305,ERS020815,6736_8#9
SMRU1308,ERS020818,6736_8#12
SMRU1309,ERS020819,6736_8#13
SMRU1310,ERS020820,6736_8#14
SMRU1311,ERS020821,6736_8#15
SMRU1313,ERS020823,6736_8#17
SMRU1314,ERS020824,6736_8#18
SMRU1315,ERS020825,6736_8#19
SMRU1316,ERS020826,6736_8#20
SMRU1318,ERS020828,6736_8#22
SMRU1319,ERS020829,6736_8#23
SMRU1320,ERS020830,6736_8#24
SMRU1465,ERS020975,6753_1#1
SMRU1466,ERS020976,6753_1#2
SMRU1467,ERS020977,6753_1#3
SMRU1468,ERS020978,6753_1#4
SMRU1469,ERS020979,6753_1#5
SMRU1470,ERS020980,6753_1#6
SMRU1471,ERS020981,6753_1#7
SMRU1472,ERS020982,6753_1#8
SMRU1473,ERS020983,6753_1#9
SMRU1474,ERS020984,6753_1#10
SMRU1475,ERS020985,6753_1#11
SMRU1476,ERS020986,6753_1#12
SMRU1477,ERS020987,6753_1#13
SMRU1478,ERS020988,6753_1#14
SMRU1479,ERS020989,6753_1#15
SMRU1480,ERS020990,6753_1#16
SMRU1481,ERS020991,6753_1#17
SMRU1482,ERS020992,6753_1#18
SMRU1483,ERS020993,6753_1#19
SMRU1484,ERS020994,6753_1#20
SMRU1485,ERS020995,6753_1#21
SMRU1486,ERS020996,6753_1#22
SMRU1487,ERS020997,6753_1#23
SMRU1488,ERS020998,6753_1#24
SMRU1489,ERS020999,6753_2#1
SMRU1490,ERS021000,6753_2#2
SMRU1491,ERS021001,6753_2#3
SMRU1492,ERS021002,6753_2#4
SMRU1493,ERS021003,6753_2#5
SMRU1494,ERS021004,6753_2#6
SMRU1496,ERS021006,6753_2#7
SMRU1497,ERS021007,6753_2#8
SMRU1498,ERS021008,6753_2#9
SMRU1499,ERS021009,6753_2#10
SMRU1500,ERS021010,6753_2#11
SMRU1501,ERS021011,6753_2#12
SMRU1502,ERS021012,6753_2#13
SMRU1503,ERS021013,6753_2#14
SMRU1504,ERS021014,6753_2#15
SMRU1505,ERS021015,6753_2#16
SMRU1506,ERS021016,6753_2#17
SMRU1507,ERS021017,6753_2#18
SMRU1508,ERS021018,6753_2#19
SMRU1509,ERS021019,6753_2#20
SMRU1510,ERS021020,6753_2#21
SMRU1511,ERS021021,6753_2#22
SMRU1512,ERS021022,6753_2#23
SMRU1513,ERS021023,6753_3#1
SMRU1514,ERS021024,6753_3#2
SMRU1515,ERS021025,6753_3#3
SMRU1516,ERS021026,6753_3#4
SMRU1517,ERS021027,6753_3#5
SMRU1518,ERS021028,6753_3#6
SMRU1519,ERS021029,6753_3#7
SMRU1520,ERS021030,6753_3#8
SMRU1521,ERS021031,6753_3#9
SMRU1522,ERS021032,6753_3#10
SMRU1523,ERS021033,6753_3#11
SMRU1524,ERS021034,6753_3#12
SMRU1525,ERS021035,6753_3#13
SMRU1526,ERS021036,6753_3#14
SMRU1527,ERS021037,6753_3#15
SMRU1528,ERS021038,6753_3#16
SMRU1529,ERS021039,6753_3#17
SMRU1531,ERS021041,6753_3#19
SMRU1532,ERS021042,6753_3#20
SMRU1533,ERS021043,6753_3#21
SMRU1535,ERS021045,6753_3#23
SMRU1536,ERS021046,6753_3#24
SMRU1537,ERS021047,6753_4#1
SMRU1538,ERS021048,6753_4#2
SMRU1539,ERS021049,6753_4#3
SMRU1540,ERS021050,6753_4#4
SMRU1541,ERS021051,6753_4#5
SMRU1542,ERS021052,6753_4#6
SMRU1543,ERS021053,6753_4#7
SMRU1544,ERS021054,6753_4#8
SMRU1545,ERS021055,6753_4#9
SMRU1546,ERS021056,6753_4#10
SMRU1547,ERS021057,6753_4#11
SMRU1548,ERS021058,6753_4#12
SMRU1549,ERS021059,6753_4#13
SMRU1550,ERS021060,6753_4#14
SMRU1551,ERS021061,6753_4#15
SMRU1553,ERS021063,6753_4#17
SMRU1554,ERS021064,6753_4#18
SMRU1555,ERS021065,6753_4#19
SMRU1556,ERS021066,6753_4#20
SMRU1557,ERS021067,6753_4#21
SMRU1558,ERS021068,6753_4#22
SMRU1559,ERS021069,6753_4#23
SMRU1560,ERS021070,6753_4#24
SMRU1153,ERS020663,6755_5#1
SMRU1154,ERS020664,6755_5#2
SMRU1155,ERS020665,6755_5#3
SMRU1156,ERS020666,6755_5#4
SMRU1157,ERS020667,6755_5#5
SMRU1158,ERS020668,6755_5#6
SMRU1159,ERS020669,6755_5#7
SMRU1160,ERS020670,6755_5#8
SMRU1162,ERS020672,6755_5#10
SMRU1163,ERS020673,6755_5#11
SMRU1164,ERS020674,6755_5#12
SMRU1165,ERS020675,6755_5#13
SMRU1166,ERS020676,6755_5#14
SMRU1167,ERS020677,6755_5#15
SMRU1168,ERS020678,6755_5#16
SMRU1170,ERS020680,6755_5#18
SMRU1171,ERS020681,6755_5#19
SMRU1172,ERS020682,6755_5#20
SMRU1174,ERS020684,6755_5#22
SMRU1175,ERS020685,6755_5#23
SMRU1176,ERS020686,6755_5#24
SMRU1177,ERS020687,6755_6#1
SMRU1178,ERS020688,6755_6#2
SMRU1179,ERS020689,6755_6#3
SMRU1180,ERS020690,6755_6#4
SMRU1183,ERS020693,6755_6#7
SMRU1184,ERS020694,6755_6#8
SMRU1186,ERS020696,6755_6#10
SMRU1188,ERS020698,6755_6#12
SMRU1190,ERS020700,6755_6#13
SMRU1192,ERS020702,6755_6#15
SMRU1193,ERS020703,6755_6#16
SMRU1194,ERS020704,6755_6#17
SMRU1196,ERS020706,6755_6#19
SMRU1197,ERS020707,6755_6#20
SMRU1198,ERS020708,6755_6#21
SMRU1200,ERS020710,6755_6#23
SMRU1417,ERS020927,6805_2#1
SMRU1418,ERS020928,6805_2#2
SMRU1420,ERS020930,6805_2#4
SMRU1421,ERS020931,6805_2#5
SMRU1422,ERS020932,6805_2#6
SMRU1423,ERS020933,6805_2#7
SMRU1424,ERS020934,6805_2#8
SMRU1425,ERS020935,6805_2#9
SMRU1426,ERS020936,6805_2#10
SMRU1427,ERS020937,6805_2#11
SMRU1428,ERS020938,6805_2#12
SMRU1429,ERS020939,6805_2#13
SMRU1430,ERS020940,6805_2#14
SMRU1432,ERS020942,6805_2#16
SMRU1433,ERS020943,6805_2#17
SMRU1434,ERS020944,6805_2#18
SMRU1435,ERS020945,6805_2#19
SMRU1436,ERS020946,6805_2#20
SMRU1437,ERS020947,6805_2#21
SMRU1438,ERS020948,6805_2#22
SMRU1439,ERS020949,6805_2#23
SMRU1440,ERS020950,6805_2#24
SMRU1441,ERS020951,6805_3#1
SMRU1442,ERS020952,6805_3#2
SMRU1443,ERS020953,6805_3#3
SMRU1444,ERS020954,6805_3#4
SMRU1445,ERS020955,6805_3#5
SMRU1446,ERS020956,6805_3#6
SMRU1447,ERS020957,6805_3#7
SMRU1448,ERS020958,6805_3#8
SMRU1449,ERS020959,6805_3#9
SMRU1450,ERS020960,6805_3#10
SMRU1451,ERS020961,6805_3#11
SMRU1452,ERS020962,6805_3#12
SMRU1453,ERS020963,6805_3#13
SMRU1454,ERS020964,6805_3#14
SMRU1455,ERS020965,6805_3#15
SMRU1456,ERS020966,6805_3#16
SMRU1457,ERS020967,6805_3#17
SMRU1458,ERS020968,6805_3#18
SMRU1459,ERS020969,6805_3#19
SMRU1460,ERS020970,6805_3#20
SMRU1461,ERS020971,6805_3#21
SMRU1462,ERS020972,6805_3#22
SMRU1464,ERS020974,6805_3#24
SMRU1657,ERS021167,6805_4#1
SMRU1659,ERS021169,6805_4#3
SMRU1660,ERS021170,6805_4#4
SMRU1661,ERS021171,6805_4#5
SMRU1662,ERS021172,6805_4#6
SMRU1663,ERS021173,6805_4#7
SMRU1664,ERS021174,6805_4#8
