sample,accession,lane
SMRU2652,ERS022162,6938_5#12
SMRU2653,ERS022163,6938_5#13
SMRU2654,ERS022164,6938_5#14
SMRU2655,ERS022165,6938_5#15
SMRU2656,ERS022166,6938_5#16
SMRU2657,ERS022167,6938_5#17
SMRU2658,ERS022168,6938_5#18
SMRU2659,ERS022169,6938_5#19
SMRU2661,ERS022171,6938_5#21
SMRU2662,ERS022172,6938_5#22
SMRU2663,ERS022173,6938_5#23
SMRU2664,ERS022174,6938_5#24
SMRU2665,ERS022175,6938_6#1
SMRU2666,ERS022176,6938_6#2
SMRU2667,ERS022177,6938_6#3
SMRU2670,ERS022180,6938_6#6
SMRU2672,ERS022182,6938_6#8
SMRU2673,ERS022183,6938_6#9
SMRU2676,ERS022186,6938_6#12
SMRU2677,ERS022187,6938_6#13
SMRU2678,ERS022188,6938_6#14
SMRU2679,ERS022189,6938_6#15
SMRU2680,ERS022190,6938_6#16
SMRU2681,ERS022191,6938_6#17
SMRU2684,ERS022194,6938_6#20
SMRU2685,ERS022195,6938_6#21
SMRU2688,ERS022198,6938_6#24
SMRU2690,ERS022200,6938_7#2
SMRU2691,ERS022201,6938_7#3
SMRU2692,ERS022202,6938_7#4
SMRU2693,ERS022203,6938_7#5
SMRU2694,ERS022204,6938_7#6
SMRU2695,ERS022205,6938_7#7
SMRU2696,ERS022206,6938_7#8
SMRU2697,ERS022207,6938_7#9
SMRU2698,ERS022208,6938_7#10
SMRU2699,ERS022209,6938_7#11
SMRU2701,ERS022211,6938_7#13
SMRU2704,ERS022214,6938_7#16
SMRU2708,ERS022218,6938_7#20
SMRU2709,ERS022219,6938_7#21
SMRU2710,ERS022220,6938_7#22
SMRU2711,ERS022221,6938_7#23
SMRU2713,ERS022223,6938_8#1
SMRU2714,ERS022224,6938_8#2
SMRU2715,ERS022225,6938_8#3
SMRU2716,ERS022226,6938_8#4
SMRU2717,ERS022227,6938_8#5
SMRU2718,ERS022228,6938_8#6
SMRU2719,ERS022229,6938_8#7
SMRU2723,ERS022233,6938_8#11
SMRU2724,ERS022234,6938_8#12
SMRU2725,ERS022235,6938_8#13
SMRU2726,ERS022236,6938_8#14
SMRU2727,ERS022237,6938_8#15
SMRU2728,ERS022238,6938_8#16
SMRU2729,ERS022239,6938_8#17
SMRU2730,ERS022240,6938_8#18
SMRU2733,ERS022243,6938_8#21
SMRU2734,ERS022244,6938_8#22
SMRU2735,ERS022245,6938_8#23
SMRU2402,ERS021911,6949_1#2
SMRU2403,ERS021912,6949_1#3
SMRU2404,ERS021913,6949_1#4
SMRU2405,ERS021914,6949_1#5
SMRU2406,ERS021915,6949_1#6
SMRU2407,ERS021916,6949_1#7
SMRU2408,ERS021917,6949_1#8
SMRU2410,ERS021919,6949_1#10
SMRU2412,ERS021921,6949_1#12
SMRU2413,ERS021922,6949_1#13
SMRU2414,ERS021923,6949_1#14
SMRU2415,ERS021924,6949_1#15
SMRU2417,ERS021926,6949_1#17
SMRU2418,ERS021928,6949_1#18
SMRU2419,ERS021929,6949_1#19
SMRU2420,ERS021930,6949_1#20
SMRU2421,ERS021931,6949_1#21
SMRU2422,ERS021932,6949_1#22
SMRU2423,ERS021933,6949_1#23
SMRU2424,ERS021934,6949_1#24
SMRU2425,ERS021935,6949_2#1
SMRU2426,ERS021936,6949_2#2
SMRU2427,ERS021937,6949_2#3
SMRU2428,ERS021938,6949_2#4
SMRU2431,ERS021941,6949_2#7
SMRU2432,ERS021942,6949_2#8
SMRU2433,ERS021943,6949_2#9
SMRU2435,ERS021945,6949_2#11
SMRU2436,ERS021946,6949_2#12
SMRU2437,ERS021947,6949_2#13
SMRU2439,ERS021949,6949_2#15
SMRU2440,ERS021950,6949_2#16
SMRU2441,ERS021951,6949_2#17
SMRU2442,ERS021952,6949_2#18
SMRU2444,ERS021954,6949_2#20
SMRU2445,ERS021955,6949_2#21
SMRU2446,ERS021956,6949_2#22
SMRU2447,ERS021957,6949_2#23
SMRU2448,ERS021958,6949_2#24
SMRU2449,ERS021959,6949_3#1
SMRU2450,ERS021960,6949_3#2
SMRU2452,ERS021962,6949_3#4
SMRU2454,ERS021964,6949_3#6
SMRU2455,ERS021965,6949_3#7
SMRU2457,ERS021967,6949_3#9
SMRU2458,ERS021968,6949_3#10
SMRU2459,ERS021969,6949_3#11
SMRU2461,ERS021971,6949_3#13
SMRU2462,ERS021972,6949_3#14
SMRU2463,ERS021973,6949_3#15
SMRU2464,ERS021974,6949_3#16
SMRU2465,ERS021975,6949_3#17
SMRU2466,ERS021976,6949_3#18
SMRU2467,ERS021977,6949_3#19
SMRU2468,ERS021978,6949_3#20
SMRU2469,ERS021979,6949_3#21
SMRU2470,ERS021980,6949_3#22
SMRU2471,ERS021981,6949_3#23
SMRU2472,ERS021982,6949_3#24
SMRU2473,ERS021983,6949_4#1
SMRU2474,ERS021984,6949_4#2
SMRU2475,ERS021985,6949_4#3
SMRU2476,ERS021986,6949_4#4
SMRU2477,ERS021987,6949_4#5
SMRU2478,ERS021988,6949_4#6
SMRU2479,ERS021989,6949_4#7
SMRU2480,ERS021990,6949_4#8
SMRU2481,ERS021991,6949_4#9
SMRU2482,ERS021992,6949_4#10
SMRU2484,ERS021994,6949_4#12
SMRU2488,ERS021998,6949_4#16
SMRU2489,ERS021999,6949_4#17
SMRU2490,ERS022000,6949_4#18
SMRU2492,ERS022002,6949_4#20
SMRU2493,ERS022003,6949_4#21
SMRU2494,ERS022004,6949_4#22
SMRU2496,ERS022006,6949_4#24
SMRU2545,ERS022055,6972_2#1
SMRU2548,ERS022058,6972_2#4
SMRU2549,ERS022059,6972_2#5
SMRU2550,ERS022060,6972_2#6
SMRU2551,ERS022061,6972_2#7
SMRU2552,ERS022062,6972_2#8
SMRU2554,ERS022064,6972_2#10
SMRU2555,ERS022065,6972_2#11
SMRU2556,ERS022066,6972_2#12
SMRU2557,ERS022067,6972_2#13
SMRU2558,ERS022068,6972_2#14
SMRU2559,ERS022069,6972_2#15
SMRU2560,ERS022070,6972_2#16
SMRU2562,ERS022072,6972_2#18
SMRU2563,ERS022073,6972_2#19
SMRU2564,ERS022074,6972_2#20
SMRU2565,ERS022075,6972_2#21
SMRU2566,ERS022076,6972_2#22
SMRU2568,ERS022078,6972_2#24
SMRU2570,ERS022080,6972_3#2
SMRU2571,ERS022081,6972_3#3
SMRU2572,ERS022082,6972_3#4
SMRU2574,ERS022084,6972_3#6
SMRU2575,ERS022085,6972_3#7
SMRU2576,ERS022086,6972_3#8
SMRU2577,ERS022087,6972_3#9
SMRU2578,ERS022088,6972_3#10
SMRU2579,ERS022089,6972_3#11
SMRU2580,ERS022090,6972_3#12
SMRU2581,ERS022091,6972_3#13
SMRU2582,ERS022092,6972_3#14
SMRU2585,ERS022095,6972_3#17
SMRU2586,ERS022096,6972_3#18
SMRU2587,ERS022097,6972_3#19
SMRU2591,ERS022101,6972_3#23
SMRU2592,ERS022102,6972_3#24
SMRU2595,ERS022105,6972_4#3
SMRU2596,ERS022106,6972_4#4
SMRU2598,ERS022108,6972_4#6
SMRU2599,ERS022109,6972_4#7
SMRU2600,ERS022110,6972_4#8
SMRU2601,ERS022111,6972_4#9
SMRU2602,ERS022112,6972_4#10
SMRU2603,ERS022113,6972_4#11
SMRU2605,ERS022115,6972_4#13
SMRU2607,ERS022117,6972_4#15
SMRU2608,ERS022118,6972_4#16
SMRU2609,ERS022119,6972_4#17
SMRU2610,ERS022120,6972_4#18
SMRU2611,ERS022121,6972_4#19
SMRU2612,ERS022122,6972_4#20
SMRU2613,ERS022123,6972_4#21
SMRU2614,ERS022124,6972_4#22
SMRU2615,ERS022125,6972_4#23
SMRU2616,ERS022126,6972_4#24
SMRU2617,ERS022127,6972_5#1
SMRU2618,ERS022128,6972_5#2
SMRU2620,ERS022130,6972_5#4
SMRU2621,ERS022131,6972_5#5
SMRU2622,ERS022132,6972_5#6
SMRU2624,ERS022134,6972_5#8
SMRU2625,ERS022135,6972_5#9
SMRU2626,ERS022136,6972_5#10
SMRU2627,ERS022137,6972_5#11
SMRU2628,ERS022138,6972_5#12
SMRU2629,ERS022139,6972_5#13
SMRU2630,ERS022140,6972_5#14
SMRU2631,ERS022141,6972_5#15
SMRU2632,ERS022142,6972_5#16
SMRU2633,ERS022143,6972_5#17
SMRU2634,ERS022144,6972_5#18
SMRU2635,ERS022145,6972_5#19
SMRU2637,ERS022147,6972_5#21
SMRU2638,ERS022148,6972_5#22
SMRU2639,ERS022149,6972_5#23
SMRU2640,ERS022150,6972_5#24
SMRU2305,ERS021814,6983_5#1
SMRU2306,ERS021815,6983_5#2
SMRU2307,ERS021816,6983_5#3
SMRU2308,ERS021817,6983_5#4
SMRU2309,ERS021818,6983_5#5
SMRU2310,ERS021819,6983_5#6
SMRU2311,ERS021820,6983_5#7
SMRU2312,ERS021821,6983_5#8
SMRU2313,ERS021822,6983_5#9
SMRU2314,ERS021823,6983_5#10
SMRU2317,ERS021826,6983_5#13
SMRU2318,ERS021827,6983_5#14
SMRU2319,ERS021828,6983_5#15
SMRU2320,ERS021829,6983_5#16
SMRU2321,ERS021830,6983_5#17
SMRU2322,ERS021831,6983_5#18
SMRU2323,ERS021832,6983_5#19
SMRU2324,ERS021833,6983_5#20
SMRU2325,ERS021834,6983_5#21
SMRU2326,ERS021835,6983_5#22
SMRU2327,ERS021836,6983_5#23
SMRU2328,ERS021837,6983_5#24
SMRU2329,ERS021838,6983_6#25
SMRU2330,ERS021839,6983_6#26
SMRU2333,ERS021842,6983_6#29
SMRU2334,ERS021843,6983_6#30
SMRU2335,ERS021844,6983_6#31
SMRU2336,ERS021845,6983_6#32
SMRU2337,ERS021846,6983_6#33
SMRU2338,ERS021847,6983_6#34
SMRU2339,ERS021848,6983_6#35
SMRU2340,ERS021849,6983_6#36
SMRU2341,ERS021850,6983_6#37
SMRU2342,ERS021851,6983_6#38
SMRU2343,ERS021852,6983_6#39
SMRU2344,ERS021853,6983_6#40
SMRU2351,ERS021860,6983_6#47
SMRU2352,ERS021861,6983_6#48
SMRU2354,ERS021863,6983_7#50
SMRU2357,ERS021866,6983_7#53
SMRU2359,ERS021868,6983_7#55
SMRU2361,ERS021870,6983_7#57
SMRU2362,ERS021871,6983_7#58
SMRU2363,ERS021872,6983_7#59
SMRU2364,ERS021873,6983_7#60
SMRU2365,ERS021874,6983_7#61
SMRU2366,ERS021875,6983_7#62
SMRU2367,ERS021876,6983_7#63
SMRU2368,ERS021877,6983_7#64
SMRU2369,ERS021878,6983_7#65
SMRU2370,ERS021879,6983_7#66
SMRU2372,ERS021881,6983_7#68
SMRU2373,ERS021882,6983_7#69
SMRU2374,ERS021883,6983_7#70
SMRU2375,ERS021884,6983_7#71
SMRU2376,ERS021885,6983_7#72
SMRU2377,ERS021886,6983_8#73
SMRU2378,ERS021887,6983_8#74
SMRU2379,ERS021888,6983_8#75
SMRU2380,ERS021889,6983_8#76
SMRU2381,ERS021890,6983_8#77
SMRU2382,ERS021891,6983_8#78
SMRU2383,ERS021892,6983_8#79
SMRU2384,ERS021893,6983_8#80
SMRU2385,ERS021894,6983_8#81
SMRU2386,ERS021895,6983_8#82
SMRU2387,ERS021896,6983_8#83
SMRU2389,ERS021898,6983_8#85
SMRU2390,ERS021899,6983_8#86
SMRU2392,ERS021901,6983_8#88
SMRU2393,ERS021902,6983_8#89
SMRU2394,ERS021903,6983_8#90
SMRU2397,ERS021906,6983_8#93
SMRU2398,ERS021907,6983_8#94
SMRU2399,ERS021908,6983_8#95
SMRU2400,ERS021909,6983_8#96
SMRU2857,ERS022367,7004_5#1
SMRU2858,ERS022368,7004_5#2
SMRU2859,ERS022369,7004_5#3
SMRU2860,ERS022370,7004_5#4
SMRU2861,ERS022371,7004_5#5
SMRU2862,ERS022372,7004_5#6
SMRU2863,ERS022373,7004_5#7
SMRU2864,ERS022374,7004_5#8
SMRU2865,ERS022375,7004_5#9
SMRU2866,ERS022376,7004_5#10
SMRU2867,ERS022377,7004_5#11
SMRU2870,ERS022380,7004_5#14
SMRU2871,ERS022381,7004_5#15
SMRU2872,ERS022382,7004_5#16
SMRU2873,ERS022383,7004_5#17
SMRU2874,ERS022384,7004_5#18
SMRU2875,ERS022385,7004_5#19
SMRU2876,ERS022386,7004_5#20
SMRU2877,ERS022387,7004_5#21
SMRU2878,ERS022388,7004_5#22
SMRU2879,ERS022389,7004_5#23
SMRU2833,ERS022343,7004_6#25
SMRU2834,ERS022344,7004_6#26
SMRU2835,ERS022345,7004_6#27
SMRU2836,ERS022346,7004_6#28
SMRU2837,ERS022347,7004_6#29
SMRU2838,ERS022348,7004_6#30
SMRU2839,ERS022349,7004_6#31
SMRU2840,ERS022350,7004_6#32
SMRU2842,ERS022352,7004_6#34
SMRU2843,ERS022353,7004_6#35
SMRU2844,ERS022354,7004_6#36
SMRU2845,ERS022355,7004_6#37
SMRU2846,ERS022356,7004_6#38
SMRU2847,ERS022357,7004_6#39
SMRU2848,ERS022358,7004_6#40
SMRU2849,ERS022359,7004_6#41
SMRU2851,ERS022361,7004_6#43
SMRU2852,ERS022362,7004_6#44
SMRU2855,ERS022365,7004_6#47
SMRU2856,ERS022366,7004_6#48
SMRU2737,ERS022247,7011_3#1
SMRU2738,ERS022248,7011_3#2
SMRU2739,ERS022249,7011_3#3
SMRU2740,ERS022250,7011_3#4
SMRU2741,ERS022251,7011_3#5
SMRU2742,ERS022252,7011_3#6
SMRU2743,ERS022253,7011_3#7
SMRU2744,ERS022254,7011_3#8
SMRU2745,ERS022255,7011_3#9
SMRU2747,ERS022257,7011_3#11
SMRU2748,ERS022258,7011_3#12
SMRU2749,ERS022259,7011_3#13
SMRU2750,ERS022260,7011_3#14
SMRU2751,ERS022261,7011_3#15
SMRU2753,ERS022263,7011_3#17
SMRU2754,ERS022264,7011_3#18
SMRU2756,ERS022266,7011_3#20
SMRU2757,ERS022267,7011_3#21
SMRU2758,ERS022268,7011_3#22
SMRU2760,ERS022270,7011_3#24
SMRU2761,ERS022271,7011_4#1
SMRU2762,ERS022272,7011_4#2
SMRU2763,ERS022273,7011_4#3
SMRU2764,ERS022274,7011_4#4
SMRU2765,ERS022275,7011_4#5
SMRU2766,ERS022276,7011_4#6
SMRU2767,ERS022277,7011_4#7
SMRU2768,ERS022278,7011_4#8
SMRU2769,ERS022279,7011_4#9
SMRU2773,ERS022283,7011_4#13
SMRU2774,ERS022284,7011_4#14
SMRU2776,ERS022286,7011_4#16
SMRU2777,ERS022287,7011_4#17
SMRU2778,ERS022288,7011_4#18
SMRU2781,ERS022291,7011_4#21
SMRU2782,ERS022292,7011_4#22
SMRU2783,ERS022293,7011_4#23
SMRU2784,ERS022294,7011_4#24
SMRU2788,ERS022298,7011_5#4
SMRU2789,ERS022299,7011_5#5
SMRU2790,ERS022300,7011_5#6
SMRU2791,ERS022301,7011_5#7
SMRU2793,ERS022303,7011_5#9
SMRU2794,ERS022304,7011_5#10
SMRU2795,ERS022305,7011_5#11
SMRU2796,ERS022306,7011_5#12
SMRU2797,ERS022307,7011_5#13
SMRU2799,ERS022309,7011_5#15
SMRU2800,ERS022310,7011_5#16
SMRU2801,ERS022311,7011_5#17
SMRU2802,ERS022312,7011_5#18
SMRU2804,ERS022314,7011_5#20
SMRU2805,ERS022315,7011_5#21
SMRU2806,ERS022316,7011_5#22
SMRU2807,ERS022317,7011_5#23
SMRU2808,ERS022318,7011_5#24
SMRU2809,ERS022319,7011_6#1
SMRU2810,ERS022320,7011_6#2
SMRU2811,ERS022321,7011_6#3
SMRU2813,ERS022323,7011_6#5
SMRU2814,ERS022324,7011_6#6
SMRU2815,ERS022325,7011_6#7
SMRU2816,ERS022326,7011_6#8
SMRU2818,ERS022328,7011_6#10
SMRU2819,ERS022329,7011_6#11
SMRU2821,ERS022331,7011_6#13
SMRU2822,ERS022332,7011_6#14
SMRU2824,ERS022334,7011_6#16
SMRU2825,ERS022335,7011_6#17
SMRU2826,ERS022336,7011_6#18
SMRU2827,ERS022337,7011_6#19
SMRU2828,ERS022338,7011_6#20
SMRU2830,ERS022340,7011_6#22
SMRU2831,ERS022341,7011_6#23
SMRU2832,ERS022342,7011_6#24
SMRU3145,ERS022655,6938_3#20
SMRU3146,ERS022656,6938_3#21
SMRU3147,ERS022657,6938_3#22
SMRU3149,ERS022659,6938_3#24
SMRU3150,ERS022660,6938_3#25
SMRU3151,ERS022661,6938_3#26
SMRU3152,ERS022662,6938_3#27
SMRU3153,ERS022663,6938_3#28
SMRU3154,ERS022664,6938_3#29
SMRU3155,ERS022665,6938_3#30
SMRU3156,ERS022666,6938_3#31
SMRU3157,ERS022667,6938_3#32
SMRU3158,ERS022668,6938_3#33
SMRU3159,ERS022669,6938_3#34
SMRU3160,ERS022670,6938_3#35
SMRU2881,ERS022391,7004_7#49
SMRU2882,ERS022392,7004_7#50
SMRU2883,ERS022393,7004_7#51
SMRU2885,ERS022395,7004_7#53
SMRU2886,ERS022396,7004_7#54
SMRU2887,ERS022397,7004_7#55
SMRU2888,ERS022398,7004_7#56
SMRU2889,ERS022399,7004_7#57
SMRU2890,ERS022400,7004_7#58
SMRU2891,ERS022401,7004_7#59
SMRU2892,ERS022402,7004_7#60
SMRU2893,ERS022403,7004_7#61
SMRU2894,ERS022404,7004_7#62
SMRU2895,ERS022405,7004_7#63
SMRU2896,ERS022406,7004_7#64
SMRU2898,ERS022408,7004_7#66
SMRU2899,ERS022409,7004_7#67
SMRU2901,ERS022411,7004_7#69
SMRU2903,ERS022413,7004_7#71
SMRU2904,ERS022414,7004_7#72
SMRU2905,ERS022415,7004_8#73
SMRU2906,ERS022416,7004_8#74
SMRU2907,ERS022417,7004_8#75
SMRU2908,ERS022418,7004_8#76
SMRU2909,ERS022419,7004_8#77
SMRU2911,ERS022421,7004_8#79
SMRU2912,ERS022422,7004_8#80
SMRU2913,ERS022423,7004_8#81
SMRU2914,ERS022424,7004_8#82
SMRU2915,ERS022425,7004_8#83
SMRU2916,ERS022426,7004_8#84
SMRU2917,ERS022427,7004_8#85
SMRU2918,ERS022428,7004_8#86
SMRU2919,ERS022429,7004_8#87
SMRU2920,ERS022430,7004_8#88
SMRU2921,ERS022431,7004_8#89
SMRU2922,ERS022432,7004_8#90
SMRU2923,ERS022433,7004_8#91
SMRU2925,ERS022435,7004_8#93
SMRU2929,ERS022439,7038_4#1
SMRU2930,ERS022440,7038_4#2
SMRU2931,ERS022441,7038_4#3
SMRU2932,ERS022442,7038_4#4
SMRU2933,ERS022443,7038_4#5
SMRU2934,ERS022444,7038_4#6
SMRU2935,ERS022445,7038_4#7
SMRU2936,ERS022446,7038_4#8
SMRU2937,ERS022447,7038_4#9
SMRU2938,ERS022448,7038_4#10
SMRU2939,ERS022449,7038_4#11
SMRU2940,ERS022450,7038_4#12
SMRU2941,ERS022451,7038_4#13
SMRU2943,ERS022453,7038_4#15
SMRU2945,ERS022455,7038_4#17
SMRU2946,ERS022456,7038_4#18
SMRU2947,ERS022457,7038_4#19
SMRU2948,ERS022458,7038_4#20
SMRU2949,ERS022459,7038_4#21
SMRU2952,ERS022462,7038_4#24
SMRU2953,ERS022463,7038_5#1
SMRU2954,ERS022464,7038_5#2
SMRU2955,ERS022465,7038_5#3
SMRU2956,ERS022466,7038_5#4
SMRU2957,ERS022467,7038_5#5
SMRU2958,ERS022468,7038_5#6
SMRU2959,ERS022469,7038_5#7
SMRU2960,ERS022470,7038_5#8
SMRU2961,ERS022471,7038_5#9
SMRU2962,ERS022472,7038_5#10
SMRU2963,ERS022473,7038_5#11
SMRU2965,ERS022475,7038_5#13
SMRU2966,ERS022476,7038_5#14
SMRU2967,ERS022477,7038_5#15
SMRU2968,ERS022478,7038_5#16
SMRU2969,ERS022479,7038_5#17
SMRU2970,ERS022480,7038_5#18
SMRU2971,ERS022481,7038_5#19
SMRU2972,ERS022482,7038_5#20
SMRU2973,ERS022483,7038_5#21
SMRU2974,ERS022484,7038_5#22
SMRU2975,ERS022485,7038_5#23
SMRU2976,ERS022486,7038_5#24
SMRU2977,ERS022487,7038_6#1
SMRU2978,ERS022488,7038_6#2
SMRU2979,ERS022489,7038_6#3
SMRU2980,ERS022490,7038_6#4
SMRU2981,ERS022491,7038_6#5
SMRU2982,ERS022492,7038_6#6
SMRU2983,ERS022493,7038_6#7
SMRU2984,ERS022494,7038_6#8
SMRU2985,ERS022495,7038_6#9
SMRU2986,ERS022496,7038_6#10
SMRU2987,ERS022497,7038_6#11
SMRU2988,ERS022498,7038_6#12
SMRU2989,ERS022499,7038_6#13
SMRU2991,ERS022501,7038_6#15
SMRU2992,ERS022502,7038_6#16
SMRU2993,ERS022503,7038_6#17
SMRU2994,ERS022504,7038_6#18
SMRU2995,ERS022505,7038_6#19
SMRU2996,ERS022506,7038_6#20
SMRU2997,ERS022507,7038_6#21
SMRU2998,ERS022508,7038_6#22
SMRU2999,ERS022509,7038_6#23
SMRU3000,ERS022510,7038_6#24
SMRU3001,ERS022511,7038_7#1
SMRU3002,ERS022512,7038_7#2
SMRU3003,ERS022513,7038_7#3
SMRU3005,ERS022515,7038_7#5
SMRU3006,ERS022516,7038_7#6
SMRU3007,ERS022517,7038_7#7
SMRU3008,ERS022518,7038_7#8
SMRU3009,ERS022519,7038_7#9
SMRU3010,ERS022520,7038_7#10
SMRU3013,ERS022523,7038_7#13
SMRU3014,ERS022524,7038_7#14
SMRU3015,ERS022525,7038_7#15
SMRU3017,ERS022527,7038_7#17
SMRU3018,ERS022528,7038_7#18
SMRU3019,ERS022529,7038_7#19
SMRU3020,ERS022530,7038_7#20
SMRU3021,ERS022531,7038_7#21
SMRU3022,ERS022532,7038_7#22
SMRU3023,ERS022533,7038_7#23
SMRU3025,ERS022535,7054_4#1
SMRU3026,ERS022536,7054_4#2
SMRU3027,ERS022537,7054_4#3
SMRU3028,ERS022538,7054_4#4
SMRU3029,ERS022539,7054_4#5
SMRU3030,ERS022540,7054_4#6
SMRU3031,ERS022541,7054_4#7
SMRU3032,ERS022542,7054_4#8
SMRU3033,ERS022543,7054_4#9
SMRU3034,ERS022544,7054_4#10
SMRU3035,ERS022545,7054_4#11
SMRU3036,ERS022546,7054_4#12
SMRU3037,ERS022547,7054_4#13
SMRU3038,ERS022548,7054_4#14
SMRU3039,ERS022549,7054_4#15
SMRU3040,ERS022550,7054_4#16
SMRU3041,ERS022551,7054_4#17
SMRU3042,ERS022552,7054_4#18
SMRU3043,ERS022553,7054_4#19
SMRU3044,ERS022554,7054_4#20
SMRU3045,ERS022555,7054_4#21
SMRU3046,ERS022556,7054_4#22
SMRU3047,ERS022557,7054_4#23
SMRU3048,ERS022558,7054_4#24
SMRU3049,ERS022559,7054_5#1
SMRU3050,ERS022560,7054_5#2
SMRU3051,ERS022561,7054_5#3
SMRU3053,ERS022563,7054_5#5
SMRU3054,ERS022564,7054_5#6
SMRU3055,ERS022565,7054_5#7
SMRU3056,ERS022566,7054_5#8
SMRU3058,ERS022568,7054_5#10
SMRU3059,ERS022569,7054_5#11
SMRU3060,ERS022570,7054_5#12
SMRU3061,ERS022571,7054_5#13
SMRU3062,ERS022572,7054_5#14
SMRU3063,ERS022573,7054_5#15
SMRU3064,ERS022574,7054_5#16
SMRU3065,ERS022575,7054_5#17
SMRU3066,ERS022576,7054_5#18
SMRU3069,ERS022579,7054_5#21
SMRU3071,ERS022581,7054_5#23
SMRU3072,ERS022582,7054_5#24
SMRU3073,ERS022583,7054_6#1
SMRU3074,ERS022584,7054_6#2
SMRU3075,ERS022585,7054_6#3
SMRU3076,ERS022586,7054_6#4
SMRU3077,ERS022587,7054_6#5
SMRU3078,ERS022588,7054_6#6
SMRU3079,ERS022589,7054_6#7
SMRU3080,ERS022590,7054_6#8
SMRU3081,ERS022591,7054_6#9
SMRU3082,ERS022592,7054_6#10
SMRU3083,ERS022593,7054_6#11
SMRU3084,ERS022594,7054_6#12
SMRU3085,ERS022595,7054_6#13
SMRU3087,ERS022597,7054_6#15
SMRU3088,ERS022598,7054_6#16
SMRU3089,ERS022599,7054_6#17
SMRU3090,ERS022600,7054_6#18
SMRU3091,ERS022601,7054_6#19
SMRU3092,ERS022602,7054_6#20
SMRU3093,ERS022603,7054_6#21
SMRU3094,ERS022604,7054_6#22
SMRU3095,ERS022605,7054_6#23
SMRU3096,ERS022606,7054_6#24
SMRU3121,ERS022631,7068_4#1
SMRU3122,ERS022632,7068_4#2
SMRU3123,ERS022633,7068_4#3
SMRU3124,ERS022634,7068_4#4
SMRU3125,ERS022635,7068_4#5
SMRU3126,ERS022636,7068_4#6
SMRU3127,ERS022637,7068_4#7
SMRU3128,ERS022638,7068_4#8
SMRU3129,ERS022639,7068_4#9
SMRU3130,ERS022640,7068_4#10
SMRU3132,ERS022642,7068_4#12
SMRU3133,ERS022643,7068_4#13
SMRU3134,ERS022644,7068_4#14
SMRU3135,ERS022645,7068_4#15
SMRU3136,ERS022646,7068_4#16
SMRU3137,ERS022647,7068_4#17
SMRU3138,ERS022648,7068_4#18
SMRU3139,ERS022649,7068_4#19
SMRU3140,ERS022650,7068_4#20
SMRU3141,ERS022651,7068_4#21
SMRU3142,ERS022652,7068_4#22
SMRU3143,ERS022653,7068_4#23
SMRU3144,ERS022654,7068_4#24
SMRU3098,ERS022608,7092_6#2
SMRU3099,ERS022609,7092_6#3
SMRU3100,ERS022610,7092_6#4
SMRU3101,ERS022611,7092_6#5
SMRU3102,ERS022612,7092_6#6
SMRU3103,ERS022613,7092_6#7
SMRU3104,ERS022614,7092_6#8
SMRU3105,ERS022615,7092_6#9
SMRU3106,ERS022616,7092_6#10
SMRU3107,ERS022617,7092_6#11
SMRU3108,ERS022618,7092_6#12
SMRU3109,ERS022619,7092_6#13
SMRU3110,ERS022620,7092_6#14
SMRU3111,ERS022621,7092_6#15
SMRU3112,ERS022622,7092_6#16
SMRU3113,ERS022623,7092_6#17
SMRU3114,ERS022624,7092_6#18
SMRU3115,ERS022625,7092_6#19
SMRU3116,ERS022626,7092_6#20
SMRU3117,ERS022627,7092_6#21
SMRU3118,ERS022628,7092_6#22
SMRU3119,ERS022629,7092_6#23
SMRU3120,ERS022630,7092_6#24
